shocktest HL copies=var Audit=1yr Glitch=0 Shock=5yr len=var lifem=var seed21 
(impact=50,100pct len=var) 

Input data from  ../hl/data/GiantOutput_shock5yr_lenvar_00.txt 
Output analysis into  ../hl/tabs/shocktest_freq5yr_lenvar_seed21_analysis_20170320_00.txt 

analysis tables by  ./ShelfAnalyze.r 
and summarize script ./summ-shock.r 
 at  20170321_225759 EDT 

Summary losses (midmeans)
   shockfreq impact span maxlife lifem    c2      c3     c4    c5 c8 c1
44     50000     50    3   10000   500    20     4.9   0.00  0.00  0  0
45     50000     50    3   10000  1000  1829     2.5   0.00  0.00  0  0
46     50000     50    3   20000    10  3581   159.0   8.55  0.09  0  0
47     50000     50    3   20000    20   505   109.0   2.45  0.09  0  0
48     50000     50    3   20000    30  1238    73.1   0.36  0.00  0  0
49     50000     50    3   20000    50  1096    49.3   0.00  0.00  0  0
50     50000     50    3   20000   100  2818    14.4   0.00  0.00  0  0
51     50000     50    3   20000   200   956     8.1   0.00  0.00  0  0
52     50000     50    3   20000   300   944    10.6   0.00  0.00  0  0
53     50000     50    3   20000   500    20     3.0   0.00  0.00  0  0
54     50000     50    3   20000  1000  1828     1.4   0.00  0.00  0  0
55     50000    100    1   10000    10  1152   101.9   7.45  0.00  0  0
56     50000    100    1   10000    20   541    40.5   1.27  0.00  0  0
57     50000    100    1   10000    30   355    24.3   0.73  0.00  0  0
58     50000    100    1   10000    50   224    18.7   0.00  0.00  0  0
59     50000    100    1   10000   100   114     7.6   0.00  0.00  0  0
60     50000    100    1   10000   200    55     5.1   0.00  0.00  0  0
61     50000    100    1   10000   300    40     3.8   0.00  0.00  0  0
62     50000    100    1   10000   500    23     0.8   0.00  0.00  0  0
63     50000    100    1   10000  1000    12     0.4   0.00  0.00  0  0
64     50000    100    2   10000    10 10000   633.5  19.82  0.91  0  0
65     50000    100    2   10000    20 10000   236.6  21.09  0.00  0  0
66     50000    100    2   10000    30 10000   172.7   1.91  0.00  0  0
67     50000    100    2   10000    50 10000   142.2   0.36  0.00  0  0
68     50000    100    2   10000   100 10000    48.5   0.00  0.00  0  0
69     50000    100    2   10000   200 10000    32.9   0.00  0.00  0  0
70     50000    100    2   10000   300 10000    20.8   0.00  0.00  0  0
71     50000    100    2   10000   500 10000     9.6   0.00  0.00  0  0
72     50000    100    2   10000  1000 10000     6.5   0.00  0.00  0  0
73     50000    100    3   10000    10 10000 10000.0 403.45 16.55  0  0
74     50000    100    3   10000    20 10000 10000.0 157.73  3.09  0  0
75     50000    100    3   10000    30 10000 10000.0 132.36  1.55  0  0
76     50000    100    3   10000    50 10000 10000.0  85.64  0.64  0  0
77     50000    100    3   10000   100 10000 10000.0  38.09  0.09  0  0
78     50000    100    3   10000   200 10000 10000.0  18.18  0.00  0  0
79     50000    100    3   10000   300 10000 10000.0  14.36  0.00  0  0
80     50000    100    3   10000   500 10000 10000.0   7.64  0.00  0  0
81     50000    100    3   10000  1000 10000 10000.0   3.91  0.00  0  0

Percentage losses (midmeans)
